bid,p_win,p_win_pct,p_win_pct_mc_se,mean_if_win,conditional_surplus_v1500,unconditional_utility_v1500,utility_v1500_mc_se,relative_utility
235.38,5e-324,4.94e-322,0.0,164.75313333333332,1335.2468666666666,6.596e-321,0.0,8.7e-322
235.63,5e-324,4.94e-322,0.0,164.75316666666666,1335.2468333333334,6.596e-321,0.0,8.7e-322
235.88,5e-324,4.94e-322,0.0,164.75316666666666,1335.2468333333334,6.596e-321,0.0,8.7e-322
236.13,5e-324,4.94e-322,0.0,164.7532,1335.2468,6.596e-321,0.0,8.7e-322
236.38,5e-324,4.94e-322,0.0,164.75323333333333,1335.2467666666666,6.596e-321,0.0,8.7e-322
236.63,5e-324,4.94e-322,0.0,164.75323333333333,1335.2467666666666,6.596e-321,0.0,8.7e-322
236.88,5e-324,4.94e-322,0.0,164.75326666666666,1335.2467333333334,6.596e-321,0.0,8.7e-322
237.13,5e-324,4.94e-322,0.0,164.7533,1335.2467,6.596e-321,0.0,8.7e-322
237.38,5e-324,4.94e-322,0.0,164.7533,1335.2467,6.596e-321,0.0,8.7e-322
237.63,5e-324,4.94e-322,0.0,164.75333333333333,1335.2466666666667,6.596e-321,0.0,8.7e-322
237.88,5e-324,4.94e-322,0.0,164.75336666666666,1335.2466333333334,6.596e-321,0.0,8.7e-322
238.13,5e-324,4.94e-322,0.0,164.75336666666666,1335.2466333333334,6.596e-321,0.0,8.7e-322
238.38,5e-324,4.94e-322,0.0,164.7534,1335.2466,6.596e-321,0.0,8.7e-322
238.63,5e-324,4.94e-322,0.0,164.7534,1335.2466,6.596e-321,0.0,8.7e-322
238.88,5e-324,4.94e-322,0.0,164.75343333333333,1335.2465666666667,6.596e-321,0.0,8.7e-322
239.13,5e-324,4.94e-322,0.0,164.7535,1335.2465,6.596e-321,0.0,8.7e-322
239.38,5e-324,4.94e-322,0.0,164.75353333333334,1335.2464666666667,6.596e-321,0.0,8.7e-322
239.63,5e-324,4.94e-322,0.0,164.75356666666667,1335.2464333333332,6.596e-321,0.0,8.7e-322
239.88,5e-324,4.94e-322,0.0,164.75356666666667,1335.2464333333332,6.596e-321,0.0,8.7e-322
240.13,5e-324,4.94e-322,0.0,164.75356666666667,1335.2464333333332,6.596e-321,0.0,8.7e-322
240.38,5e-324,4.94e-322,0.0,164.75356666666667,1335.2464333333332,6.596e-321,0.0,8.7e-322
